2026-07-06	[Alex] Clean bathroom
2026-07-07	[Alex] Clean living room (A)
2026-07-07	[Don] Clean kitchen (C)
2026-07-08	[Alex] Clean kitchen (A)
2026-07-08	[Don] Sweep kitchen & living room (A)
2026-07-09	[Alex] Clean backyard
2026-07-10	[Alex] Clean Alex's room
2026-07-10	[Don] Clean living room (B)
2026-07-11	[Alex] Sweep kitchen & living room (B)
2026-07-11	[Don] Clean Don & Suzi's room
2026-07-12	[Alex] Mop kitchen & living room
2026-07-12	[Don] Clean kitchen (B)
2026-07-13	[Don] Clean bathroom
2026-07-14	[Alex] Clean kitchen (C)
2026-07-14	[Don] Clean living room (A)
2026-07-15	[Alex] Sweep kitchen & living room (A)
2026-07-15	[Don] Clean kitchen (A)
2026-07-16	[Don] Clean backyard
2026-07-17	[Alex] Clean Alex's room
2026-07-17	[Don] Clean living room (B)
2026-07-18	[Alex] Sweep kitchen & living room (B)
2026-07-18	[Don] Clean Don & Suzi's room
2026-07-19	[Alex] Clean kitchen (B)
2026-07-19	[Don] Mop kitchen & living room
2026-07-20	[Alex] Clean bathroom
2026-07-21	[Alex] Clean living room (A)
2026-07-21	[Don] Clean kitchen (C)
2026-07-22	[Alex] Clean kitchen (A)
2026-07-22	[Don] Sweep kitchen & living room (A)
2026-07-23	[Alex] Clean backyard
2026-07-24	[Alex] Clean Alex's room
2026-07-24	[Don] Clean living room (B)
2026-07-25	[Alex] Sweep kitchen & living room (B)
2026-07-25	[Don] Clean Don & Suzi's room
2026-07-26	[Alex] Mop kitchen & living room
2026-07-26	[Don] Clean kitchen (B)
2026-07-27	[Don] Clean bathroom
2026-07-28	[Alex] Clean kitchen (C)
2026-07-28	[Don] Clean living room (A)
2026-07-29	[Alex] Sweep kitchen & living room (A)
2026-07-29	[Don] Clean kitchen (A)
2026-07-30	[Don] Clean backyard
2026-07-31	[Alex] Clean Alex's room
2026-07-31	[Don] Clean living room (B)
2026-08-01	[Alex] Sweep kitchen & living room (B)
2026-08-01	[Don] Clean Don & Suzi's room
2026-08-02	[Alex] Clean kitchen (B)
2026-08-02	[Don] Mop kitchen & living room
2026-08-03	[Alex] Clean bathroom
2026-08-04	[Alex] Clean living room (A)
2026-08-04	[Don] Clean kitchen (C)
2026-08-05	[Alex] Clean kitchen (A)
2026-08-05	[Don] Sweep kitchen & living room (A)
2026-08-06	[Alex] Clean backyard
2026-08-07	[Alex] Clean Alex's room
2026-08-07	[Don] Clean living room (B)
2026-08-08	[Alex] Sweep kitchen & living room (B)
2026-08-08	[Don] Clean Don & Suzi's room
2026-08-09	[Alex] Mop kitchen & living room
2026-08-09	[Don] Clean kitchen (B)
2026-08-10	[Don] Clean bathroom
2026-08-11	[Alex] Clean kitchen (C)
2026-08-11	[Don] Clean living room (A)
2026-08-12	[Alex] Sweep kitchen & living room (A)
2026-08-12	[Don] Clean kitchen (A)
2026-08-13	[Don] Clean backyard
2026-08-14	[Alex] Clean Alex's room
2026-08-14	[Don] Clean living room (B)
2026-08-15	[Alex] Sweep kitchen & living room (B)
2026-08-15	[Don] Clean Don & Suzi's room
2026-08-16	[Alex] Clean kitchen (B)
2026-08-16	[Don] Mop kitchen & living room
2026-08-17	[Alex] Clean bathroom
2026-08-18	[Alex] Clean living room (A)
2026-08-18	[Don] Clean kitchen (C)
2026-08-19	[Alex] Clean kitchen (A)
2026-08-19	[Don] Sweep kitchen & living room (A)
2026-08-20	[Alex] Clean backyard
2026-08-21	[Alex] Clean Alex's room
2026-08-21	[Don] Clean living room (B)
2026-08-22	[Alex] Sweep kitchen & living room (B)
2026-08-22	[Don] Clean Don & Suzi's room
2026-08-23	[Alex] Mop kitchen & living room
2026-08-23	[Don] Clean kitchen (B)
2026-08-24	[Don] Clean bathroom
2026-08-25	[Alex] Clean kitchen (C)
2026-08-25	[Don] Clean living room (A)
2026-08-26	[Alex] Sweep kitchen & living room (A)
2026-08-26	[Don] Clean kitchen (A)
2026-08-27	[Don] Clean backyard
2026-08-28	[Alex] Clean Alex's room
2026-08-28	[Don] Clean living room (B)
2026-08-29	[Alex] Sweep kitchen & living room (B)
2026-08-29	[Don] Clean Don & Suzi's room
2026-08-30	[Alex] Clean kitchen (B)
2026-08-30	[Don] Mop kitchen & living room
2026-08-31	[Alex] Clean bathroom
2026-09-01	[Alex] Clean living room (A)
2026-09-01	[Don] Clean kitchen (C)
2026-09-02	[Alex] Clean kitchen (A)
2026-09-02	[Don] Sweep kitchen & living room (A)
2026-09-03	[Alex] Clean backyard
2026-09-04	[Alex] Clean Alex's room
2026-09-04	[Don] Clean living room (B)
2026-09-05	[Alex] Sweep kitchen & living room (B)
2026-09-05	[Don] Clean Don & Suzi's room
2026-09-06	[Alex] Mop kitchen & living room
2026-09-07	[Don] Clean bathroom
2026-09-08	[Alex] Clean kitchen (C)
2026-09-08	[Don] Clean living room (A)
2026-09-09	[Alex] Sweep kitchen & living room (A)
2026-09-09	[Don] Clean kitchen (A)
2026-09-10	[Don] Clean backyard
2026-09-11	[Don] Clean living room (B)
2026-09-12	[Alex] Sweep kitchen & living room (B)
2026-09-12	[Don] Clean Don & Suzi's room
2026-09-13	[Alex] Clean kitchen (B)
2026-09-14	[Alex] Clean bathroom
2026-09-15	[Alex] Clean living room (A)
2026-09-15	[Don] Clean kitchen (C)
2026-09-16	[Alex] Clean kitchen (A)
2026-09-16	[Don] Sweep kitchen & living room (A)
2026-09-17	[Alex] Clean backyard
2026-09-18	[Alex] Clean Alex's room
2026-09-18	[Don] Clean living room (B)
2026-09-19	[Alex] Sweep kitchen & living room (B)
2026-09-19	[Don] Clean Don & Suzi's room
2026-09-20	[Alex] Mop kitchen & living room
2026-09-20	[Don] Clean kitchen (B)
2026-09-21	[Don] Clean bathroom
2026-09-22	[Alex] Clean kitchen (C)
2026-09-22	[Don] Clean living room (A)
2026-09-23	[Alex] Sweep kitchen & living room (A)
2026-09-24	[Don] Clean backyard
2026-09-25	[Don] Clean living room (B)
2026-09-26	[Don] Clean Don & Suzi's room
2026-09-27	[Alex] Clean kitchen (B)
2026-09-27	[Don] Mop kitchen & living room
2026-09-28	[Alex] Clean bathroom
2026-09-29	[Alex] Clean living room (A)
2026-09-29	[Don] Clean kitchen (C)
2026-09-30	[Alex] Clean kitchen (A)
2026-09-30	[Don] Sweep kitchen & living room (A)
2026-10-01	[Alex] Clean backyard
2026-10-02	[Alex] Clean Alex's room
2026-10-02	[Don] Clean living room (B)
2026-10-03	[Alex] Sweep kitchen & living room (B)
2026-10-03	[Don] Clean Don & Suzi's room
2026-10-04	[Don] Clean kitchen (B)
2026-10-05	[Don] Clean bathroom
2026-10-06	[Alex] Clean kitchen (C)
2026-10-07	[Alex] Sweep kitchen & living room (A)
2026-10-08	[Don] Clean backyard
2026-10-09	[Alex] Clean Alex's room
2026-10-09	[Don] Clean living room (B)
2026-10-10	[Alex] Sweep kitchen & living room (B)
2026-10-10	[Don] Clean Don & Suzi's room
2026-10-11	[Alex] Clean kitchen (B)
2026-10-11	[Don] Mop kitchen & living room
2026-10-12	[Alex] Clean bathroom
2026-10-13	[Alex] Clean living room (A)
2026-10-13	[Don] Clean kitchen (C)
2026-10-14	[Don] Sweep kitchen & living room (A)
2026-10-15	[Alex] Clean backyard
2026-10-16	[Alex] Clean Alex's room
2026-10-17	[Don] Clean Don & Suzi's room
2026-10-18	[Alex] Mop kitchen & living room
2026-10-18	[Don] Clean kitchen (B)
2026-10-19	[Don] Clean bathroom
2026-10-20	[Alex] Clean kitchen (C)
2026-10-20	[Don] Clean living room (A)
2026-10-21	[Alex] Sweep kitchen & living room (A)
2026-10-21	[Don] Clean kitchen (A)
2026-10-22	[Don] Clean backyard
